trial,variant,cluster,len,capacity,elapsed_ns,hits,misses,evictions
1,c15s_4_n64,cluster034,1000000,1024,80873368,303564,696436,695412
1,c15s_4_n64,cluster034,1000000,2048,139182595,329380,670620,668572
1,c15s_4_n64,cluster034,1000000,4096,257520587,350548,649452,645356
2,c14s_n64,cluster034,1000000,1024,87505173,303747,696253,695229
2,c14s_n64,cluster034,1000000,2048,142941687,331798,668202,666154
2,c14s_n64,cluster034,1000000,4096,256192710,355495,644505,640409
2,c15s_16_n64,cluster034,1000000,1024,84300623,297391,702609,701585
2,c15s_16_n64,cluster034,1000000,2048,147556541,320105,679895,677847
2,c15s_16_n64,cluster034,1000000,4096,285229335,339966,660034,655938
2,c15s_8_n64,cluster034,1000000,1024,81241559,301915,698085,697061
2,c15s_8_n64,cluster034,1000000,2048,141243962,325863,674137,672089
2,c15s_8_n64,cluster034,1000000,4096,262920380,346070,653930,649834
2,c15s_4_n64,cluster034,1000000,1024,79102853,303347,696653,695629
2,c15s_4_n64,cluster034,1000000,2048,139560106,329206,670794,668746
2,c15s_4_n64,cluster034,1000000,4096,251174661,351163,648837,644741
3,c14s_n64,cluster034,1000000,1024,84925466,303747,696253,695229
3,c14s_n64,cluster034,1000000,2048,142861215,331798,668202,666154
3,c14s_n64,cluster034,1000000,4096,267686574,355495,644505,640409
3,c15s_16_n64,cluster034,1000000,1024,84871760,297391,702609,701585
3,c15s_16_n64,cluster034,1000000,2048,152405946,320105,679895,677847
3,c15s_16_n64,cluster034,1000000,4096,288795894,339966,660034,655938
3,c15s_8_n64,cluster034,1000000,1024,80410316,301915,698085,697061
3,c15s_8_n64,cluster034,1000000,2048,136783845,325863,674137,672089
3,c15s_8_n64,cluster034,1000000,4096,275390701,346070,653930,649834
3,c15s_4_n64,cluster034,1000000,1024,84040612,303347,696653,695629
3,c15s_4_n64,cluster034,1000000,2048,141577799,329206,670794,668746
3,c15s_4_n64,cluster034,1000000,4096,258490724,351163,648837,644741
4,c14s_n64,cluster034,1000000,1024,85787628,303747,696253,695229
4,c14s_n64,cluster034,1000000,2048,145464519,331798,668202,666154
4,c14s_n64,cluster034,1000000,4096,265241115,355495,644505,640409
4,c15s_16_n64,cluster034,1000000,1024,81584504,296767,703233,702209
4,c15s_16_n64,cluster034,1000000,2048,147430403,320710,679290,677242
4,c15s_16_n64,cluster034,1000000,4096,289930542,340649,659351,655255
4,c15s_8_n64,cluster034,1000000,1024,79965789,300493,699507,698483
4,c15s_8_n64,cluster034,1000000,2048,142203450,326266,673734,671686
4,c15s_8_n64,cluster034,1000000,4096,269245244,345074,654926,650830
4,c15s_4_n64,cluster034,1000000,1024,84030243,303841,696159,695135
4,c15s_4_n64,cluster034,1000000,2048,141039185,329336,670664,668616
4,c15s_4_n64,cluster034,1000000,4096,259020383,350677,649323,645227
5,c14s_n64,cluster034,1000000,1024,84992652,303747,696253,695229
5,c14s_n64,cluster034,1000000,2048,149608237,331798,668202,666154
5,c14s_n64,cluster034,1000000,4096,256176851,355495,644505,640409
5,c15s_16_n64,cluster034,1000000,1024,83727364,296767,703233,702209
5,c15s_16_n64,cluster034,1000000,2048,148684863,320710,679290,677242
5,c15s_16_n64,cluster034,1000000,4096,283701786,340649,659351,655255
5,c15s_8_n64,cluster034,1000000,1024,83669100,300493,699507,698483
5,c15s_8_n64,cluster034,1000000,2048,142986552,326266,673734,671686
5,c15s_8_n64,cluster034,1000000,4096,269029440,345074,654926,650830
5,c15s_4_n64,cluster034,1000000,1024,82796228,303841,696159,695135
5,c15s_4_n64,cluster034,1000000,2048,140386307,329336,670664,668616
5,c15s_4_n64,cluster034,1000000,4096,271145023,350677,649323,645227
