trial,variant,workload,skew,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
3,orig,zipf,1.2,1000000,1024,1024,1,17600499,841056,158944,157920
3,j8_n32,zipf,1.2,1000000,1024,32,32,16476868,838820,161180,160156
3,mini_moka,zipf,1.2,1000000,1024,0,0,271676227,839171,160829,0
3,moka,zipf,1.2,1000000,1024,0,0,398116669,839777,160223,0
3,orig,zipf,1.2,1000000,4096,4096,1,18636552,897791,102209,98113
3,j8_n128,zipf,1.2,1000000,4096,32,128,16284023,897179,102821,98725
3,mini_moka,zipf,1.2,1000000,4096,0,0,268190307,899758,100242,0
3,moka,zipf,1.2,1000000,4096,0,0,371260547,899401,100599,0
3,orig,zipf,1.2,1000000,16384,16384,1,16037494,937388,62612,46228
3,j8_n512,zipf,1.2,1000000,16384,32,512,15361312,936865,63135,46751
3,mini_moka,zipf,1.2,1000000,16384,0,0,267926844,936869,63131,0
3,moka,zipf,1.2,1000000,16384,0,0,359829400,936796,63204,0
3,orig,zipf,1.2,1000000,65536,65536,1,15533612,953382,46618,0
3,j8_n2048,zipf,1.2,1000000,65536,32,2048,15022203,953375,46625,128
3,mini_moka,zipf,1.2,1000000,65536,0,0,276667529,953382,46618,0
3,moka,zipf,1.2,1000000,65536,0,0,323860253,953382,46618,0
4,orig,cluster006,,1000000,1024,1024,1,46301913,132154,867846,866822
4,j8_n32,cluster006,,1000000,1024,32,32,30122997,131317,868683,867659
4,mini_moka,cluster006,,1000000,1024,0,0,484373051,105793,894207,0
4,moka,cluster006,,1000000,1024,0,0,846999733,106187,893813,0
4,orig,cluster006,,1000000,4096,4096,1,41663714,348606,651394,647298
4,j8_n128,cluster006,,1000000,4096,32,128,31368934,351809,648191,644095
4,mini_moka,cluster006,,1000000,4096,0,0,438729148,332575,667425,0
4,moka,cluster006,,1000000,4096,0,0,814057834,332683,667317,0
4,orig,cluster006,,1000000,16384,16384,1,32682000,640281,359719,343335
4,j8_n512,cluster006,,1000000,16384,32,512,32035507,638399,361601,345217
4,mini_moka,cluster006,,1000000,16384,0,0,389411323,617885,382115,0
4,moka,cluster006,,1000000,16384,0,0,677428874,617588,382412,0
4,orig,cluster006,,1000000,65536,65536,1,28547147,829343,170657,105121
4,j8_n2048,cluster006,,1000000,65536,32,2048,26686122,827400,172600,107064
4,mini_moka,cluster006,,1000000,65536,0,0,388245279,807441,192559,0
4,moka,cluster006,,1000000,65536,0,0,653111467,804454,195546,0
4,orig,cluster018,,1000000,1024,1024,1,37052493,501676,498324,497300
4,j8_n32,cluster018,,1000000,1024,32,32,31775218,510136,489864,488840
4,mini_moka,cluster018,,1000000,1024,0,0,415724447,381461,618539,0
4,moka,cluster018,,1000000,1024,0,0,731644055,381391,618609,0
4,orig,cluster018,,1000000,4096,4096,1,31736666,625267,374733,370637
4,j8_n128,cluster018,,1000000,4096,32,128,33455076,627333,372667,368571
4,mini_moka,cluster018,,1000000,4096,0,0,406224844,498130,501870,0
4,moka,cluster018,,1000000,4096,0,0,722624807,498415,501585,0
4,orig,cluster018,,1000000,16384,16384,1,30225770,737810,262190,245806
4,j8_n512,cluster018,,1000000,16384,32,512,32059611,736524,263476,247092
4,mini_moka,cluster018,,1000000,16384,0,0,399835990,619394,380606,0
4,moka,cluster018,,1000000,16384,0,0,697395991,619557,380443,0
4,orig,cluster018,,1000000,65536,65536,1,27790396,820608,179392,113856
4,j8_n2048,cluster018,,1000000,65536,32,2048,29523131,820448,179552,114016
4,mini_moka,cluster018,,1000000,65536,0,0,399026152,713482,286518,0
4,moka,cluster018,,1000000,65536,0,0,721000931,713418,286582,0
